,left,top
0,259579,5031369
1,260079,5034369
2,260079,5033869
3,260079,5033369
4,260079,5032869
5,260079,5032369
6,260079,5031869
7,260079,5031369
8,260079,5030869
9,260079,5030369
10,260079,5029869
11,260079,5029369
12,260079,5028869
13,260079,5028369
14,260579,5035869
15,260579,5035369
16,260579,5034869
17,260579,5034369
18,260579,5033869
19,260579,5033369
20,260579,5032869
21,260579,5032369
22,260579,5031869
23,260579,5031369
24,260579,5030869
25,260579,5030369
26,260579,5029869
27,260579,5029369
28,260579,5028869
29,260579,5028369
30,260579,5027869
31,260579,5027369
32,260579,5026869
33,261079,5036869
34,261079,5036369
35,261079,5035869
36,261079,5035369
37,261079,5034869
38,261079,5034369
39,261079,5033869
40,261079,5033369
41,261079,5032869
42,261079,5032369
43,261079,5031869
44,261079,5031369
45,261079,5030869
46,261079,5030369
47,261079,5029869
48,261079,5029369
49,261079,5028869
50,261079,5028369
51,261079,5027869
52,261079,5027369
53,261079,5026869
54,261079,5026369
55,261079,5025869
56,261579,5037869
57,261579,5037369
58,261579,5036869
59,261579,5036369
60,261579,5035869
61,261579,5035369
62,261579,5034869
63,261579,5034369
64,261579,5033869
65,261579,5033369
66,261579,5032869
67,261579,5032369
68,261579,5031869
69,261579,5031369
70,261579,5030869
71,261579,5030369
72,261579,5029869
73,261579,5029369
74,261579,5028869
75,261579,5028369
76,261579,5027869
77,261579,5027369
78,261579,5026869
79,261579,5026369
80,261579,5025869
81,261579,5025369
82,261579,5024869
83,262079,5038369
84,262079,5037869
85,262079,5037369
86,262079,5036869
87,262079,5036369
88,262079,5035869
89,262079,5035369
90,262079,5034869
91,262079,5034369
92,262079,5033869
93,262079,5033369
94,262079,5032869
95,262079,5032369
96,262079,5031869
97,262079,5031369
98,262079,5030869
99,262079,5030369
100,262079,5029869
101,262079,5029369
102,262079,5028869
103,262079,5028369
104,262079,5027869
105,262079,5027369
106,262079,5026869
107,262079,5026369
108,262079,5025869
109,262079,5025369
110,262079,5024869
111,262079,5024369
112,262579,5038869
113,262579,5038369
114,262579,5037869
115,262579,5037369
116,262579,5036869
117,262579,5036369
118,262579,5035869
119,262579,5035369
120,262579,5034869
121,262579,5034369
122,262579,5033869
123,262579,5033369
124,262579,5032869
125,262579,5032369
126,262579,5031869
127,262579,5031369
128,262579,5030869
129,262579,5030369
130,262579,5029869
131,262579,5029369
132,262579,5028869
133,262579,5028369
134,262579,5027869
135,262579,5027369
136,262579,5026869
137,262579,5026369
138,262579,5025869
139,262579,5025369
140,262579,5024869
141,262579,5024369
142,262579,5023869
143,263079,5039369
144,263079,5038869
145,263079,5038369
146,263079,5037869
147,263079,5037369
148,263079,5036869
149,263079,5036369
150,263079,5035869
151,263079,5035369
152,263079,5034869
153,263079,5034369
154,263079,5033869
155,263079,5033369
156,263079,5032869
157,263079,5032369
158,263079,5031869
159,263079,5031369
160,263079,5030869
161,263079,5030369
162,263079,5029869
163,263079,5029369
164,263079,5028869
165,263079,5028369
166,263079,5027869
167,263079,5027369
168,263079,5026869
169,263079,5026369
170,263079,5025869
171,263079,5025369
172,263079,5024869
173,263079,5024369
174,263079,5023869
175,263079,5023369
176,263579,5039869
177,263579,5039369
178,263579,5038869
179,263579,5038369
180,263579,5037869
181,263579,5037369
182,263579,5036869
183,263579,5036369
184,263579,5035869
185,263579,5035369
186,263579,5034869
187,263579,5034369
188,263579,5033869
189,263579,5033369
